UMAP1,UMAP2,label
2.760217133,13.74982152,MesenchymalStemCells
-12.91560053,11.77781828,FetalStomach
-9.93031059,2.16228086,BoneMarrowcKit
-3.009177094,13.2875483,TrophoblastStemCells
-0.479247131,6.096186661,CJ7 EB14 Ezh2
-7.601919783,-9.940805343,MammaryGland Virgin CD45
9.246331356,-16.01243905,MammaryGland Lactation
-7.141976897,-9.097165842,MammaryGland Involution CD45
3.076602759,-9.061807785,Lung
3.080499828,-0.357575047,FetalLiver
0.77973277,-11.39320284,MammaryGland Pregnancy
-3.215888072,-5.737036949,Pancreas
-3.365659671,12.66889152,TrophoblastStemCells
15.21481666,-1.748550063,Thymus
-8.628120256,-9.764916169,MammaryGland Virgin CD45
2.723100172,-7.336867691,Placenta
2.820964889,0.241813298,FetalLung
-7.189703431,-10.09871215,MammaryGland Virgin CD45
-11.01380354,-12.62140215,Kidney
-6.303070114,9.121389279,NeonatalRib
3.571616642,-19.55976729,SmallIntestine
-1.229920629,6.025605851,CJ7 EB14 Ezh2
-15.92984789,-5.913265419,Testis
-2.835646936,-2.531825925,NeonatalHeart
-9.853331833,4.993635435,BoneMarrow
6.823452864,3.419828621,FetalKidney
10.46743132,12.46984326,PeripheralBlood
-0.233142015,-11.26174802,MammaryGland Pregnancy
4.499958208,1.192533645,FetalIntestine
-0.743376475,5.529612277,CJ7 EB14 Ezh2
5.628603474,-10.72704243,SmallIntestine
10.49508575,-0.791728053,Kidney
4.196133544,10.11189435,EmbryonicStemCells
9.856339891,-4.365512351,NeonatalRib
-7.952401726,-8.878585798,MammaryGland Virgin CD45
2.547158541,-7.977153936,Lung
0.667951553,7.162645086,CJ7 EB14 WT
4.920387976,2.179860908,FetalPancreas
2.969413178,14.90833088,MesenchymalStemCells
3.653590336,9.711828498,EmbryonicStemCells
-6.567155235,-7.840212105,Bladder
2.825411815,16.12844644,MesenchymalStemCells
-1.821563729,8.046019958,EB
-2.306528643,13.26560963,TrophoblastStemCells
-4.427003514,-13.17643938,MammaryGland Involution CD45
15.01242399,-2.442448509,Thymus
-6.460712052,-7.748072298,Bladder
2.72628124,15.17201994,MesenchymalStemCells
-14.79544098,-5.543890196,Testis
6.299452241,1.053310121,FetalBrain
5.704039947,-6.753831224,BoneMarrowcKit
-10.16619661,10.01372681,FetalLung
2.710714621,15.13706605,MesenchymalStemCells
9.896653084,12.23503965,BoneMarrow
2.792730524,14.19964927,MesenchymalStemCells
9.447455792,12.38697955,PeripheralBlood
-2.447778413,-2.38504333,NeonatalHeart
3.050007833,9.286564193,EmbryonicStemCells
0.579450729,7.818428898,CJ7 EB14 WT
5.12074939,-4.79913146,BoneMarrowcKit
-1.848251277,8.585652686,EB
1.698022399,-11.24563528,PeripheralBlood
0.669596035,-11.47684542,MammaryGland Pregnancy
-2.602856156,13.00710891,TrophoblastStemCells
11.87416408,12.69107203,BoneMarrowcKit
3.168201147,15.66538788,MesenchymalStemCells
-0.155136905,7.019245026,EB
6.662117865,2.832719842,Muscle
-2.426648815,-2.859225865,NeonatalMuscle
0.583631952,-6.961729531,Placenta
-3.577269581,13.52964149,TrophoblastStemCells
-15.12592245,1.397104805,Brain
-3.440194975,-3.810239615,NeonatalMuscle
3.078964191,0.208191964,FetalLung
-6.732133498,0.490430411,NeonatalCalvaria
-7.603157098,-10.20731422,MammaryGland Virgin CD45
-4.929873895,-2.431287965,NeonatalSkin
-1.035510683,-6.268713935,Liver
0.133222189,8.67729406,CJ7 EB14 WT
5.196820069,2.020077946,Male fetal Gonad
2.981686678,-0.032432055,Female fetal Gonad
-3.044742931,12.22231415,TrophoblastStemCells
-10.29105394,3.115378045,BoneMarrow
-8.367481517,8.256569425,Female fetal Gonad
5.805953988,4.31487925,Female fetal Gonad
2.59921301,15.21648097,MesenchymalStemCells
-1.951060538,8.85462886,CJ7 EB14 WT
-3.790122086,-1.750258735,NeonatalSkin
-4.927530033,-2.720802412,NeonatalRib
-2.916179951,13.04008073,TrophoblastStemCells
3.024631826,0.787715699,FetalIntestine
-8.015650846,-9.681408685,MammaryGland Virgin CD45
4.526944913,-11.40534865,SmallIntestine
11.1265489,-14.92710104,MammaryGland Lactation
5.118609823,-5.757641623,BoneMarrowcKit
-3.148044064,12.87979633,TrophoblastStemCells
3.601480728,-19.15060841,SmallIntestine
6.234517431,3.554657972,FetalIntestine
8.495496025,2.638854812,Ovary
12.08651607,13.0105174,BoneMarrowcKit
-2.883125742,-3.341580404,NeonatalHeart
4.070132842,-0.313594792,EmbryonicMesenchyme
-7.661861731,-9.706464093,MammaryGland Virgin CD45
3.186005391,-7.12785689,BoneMarrow
-0.429432868,7.419828931,mES
5.683510387,1.333213391,FetalIntestine
15.30736508,-1.852654034,Thymus
6.022227695,2.591419795,FetalKidney
-0.08747398,7.202372099,mES
6.674942046,4.06930293,FetalKidney
-2.868510489,12.35774823,TrophoblastStemCells
-14.68596211,0.584919663,Brain
-16.6217217,-6.202831478,Testis
-4.456006487,-2.750101037,NeonatalSkin
4.233198674,9.618174722,EmbryonicStemCells
-8.01146531,-8.937654726,MammaryGland Virgin CD45
8.321715319,4.550253627,Placenta
10.90361996,12.17523562,BoneMarrowcKit
-14.45697595,-5.151124277,Testis
3.340411784,0.663178493,FetalIntestine
4.572279169,1.160330938,FetalLung
8.585923771,-16.11951898,MammaryGland Lactation
-9.556276152,10.38663259,FetalStomach
8.016847366,2.859727346,Ovary
-16.55456015,4.415178468,Prostate
-8.594789941,-15.47314069,Lung
5.589479413,-5.522412255,BoneMarrowcKit
-5.802021469,-15.79061453,Bladder
-1.230112754,3.8767875,EB
3.17106313,15.62134945,MesenchymalStemCells
-4.30945728,-13.05381046,MammaryGland Involution CD45
4.992508445,3.534118655,Female fetal Gonad
6.024945762,4.429795602,Male fetal Gonad
2.764279104,13.80176692,MesenchymalStemCells
-3.533403309,-3.830891714,NeonatalMuscle
1.696842631,-3.661813494,MesenchymalStemCellsPrimary
5.538304823,4.409073557,Female fetal Gonad
-4.108787641,-12.70522269,MammaryGland Involution
0.869994153,7.710488938,CJ7 EB14 WT
15.83244969,4.242285703,Lung
-10.0055687,4.649608029,PeripheralBlood
-6.609940177,-0.920125596,NeonatalCalvaria
-0.316519777,-7.171348868,Testis
3.163179437,15.07061042,MesenchymalStemCells
-15.49247349,-5.601960573,Testis
-0.343223725,8.846129797,CJ7 EB14 WT
5.453724587,-5.190331787,BoneMarrow
1.766276215,0.55354151,FetalStomach
-14.78431458,-5.628834476,Testis
-18.36115709,-6.197399021,Testis
-10.55264629,2.02172623,BoneMarrowcKit
-7.139230115,-0.545528184,NeonatalCalvaria
3.514633006,-19.58024031,SmallIntestine
-7.009882727,-8.153088088,MammaryGland Involution
1.20722602,2.526068564,FetalLung
-1.845874216,7.715080139,CJ7 EB14 WT
11.69827625,12.27587784,BoneMarrowcKit
-2.623224363,11.62102345,TrophoblastStemCells
-4.28054761,-13.112421,MammaryGland Involution CD45
9.875371305,-16.06687993,MammaryGland Lactation
2.958851265,-10.7430773,PeripheralBlood
1.515428969,3.841475418,FetalPancreas
3.735102685,9.894887871,EmbryonicStemCells
11.73859355,12.6253125,BoneMarrow
-1.749473653,7.925488942,EB
-14.99355167,-5.075464313,Testis
-9.427229154,4.949175551,BoneMarrow
-8.232150996,-9.585236068,MammaryGland Virgin CD45
-1.753163051,-3.846581034,Ovary
6.125570266,3.364644046,FetalKidney
1.289554375,-10.13710917,Kidney
13.60373926,-10.6938691,Stomach
-7.21771923,-10.72887821,MammaryGland Virgin CD45
4.491331865,0.774375098,FetalPancreas
